Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,DataTypeInstanceCount,TypeConfigHash,SizeGzip,SizeZstd,NativeKind,StreamMode,RunOrder,SchedulePosition
python,bytes,document,100,7,rapidjson,1.23,5834,6725,448,12559,171408.981831,148698.884758,79624.173899,2663,1.00,1,c4a54cdecc67,229,235,dict,,116,4
python,bytes,document,100,7,protobuf,7.35.1,2381,2636,155,5017,419991.600168,379362.670713,199322.304166,292,1.00,1,c4a54cdecc67,174,164,message,,117,5
python,bytes,document,100,7,pickle,python-3.14.0,13883,9745,452,23628,72030.540949,102616.726526,42322.668021,6889,1.00,1,c4a54cdecc67,319,336,dataclass,,118,6
python,bytes,document,100,7,msgspec-msgpack,0.21.1,1586,2260,129,3846,630517.023960,442477.876106,260010.400416,1310,1.00,1,c4a54cdecc67,149,138,struct,,119,7
python,bytes,document,100,7,dill,0.4.1,170446,13924,452,184370,5866.960797,71818.442976,5423.875902,14770,1.00,1,c4a54cdecc67,319,336,dataclass,,120,8
python,bytes,document,100,7,orjson,3.11.9,1640,2869,448,4509,609756.097561,348553.502963,221778.664892,9821,1.00,1,c4a54cdecc67,229,235,dict,,121,9
python,bytes,document,100,7,cbor2,6.1.3,17393,7317,332,24710,57494.394297,136668.033347,40469.445569,3497,1.00,1,c4a54cdecc67,220,224,dict,,122,10
python,bytes,document,100,7,msgpack,1.2.1,3908,4751,325,8659,255885.363357,210482.003789,115486.776764,1028,1.00,1,c4a54cdecc67,228,232,dict,,123,11
python,bytes,document,100,7,cloudpickle,3.1.2,31070,8050,452,39120,32185.387834,124223.602484,25562.372188,8946,1.00,1,c4a54cdecc67,319,336,dataclass,,124,12
python,bytes,document,100,7,json,python-3.14.0,12247,8492,448,20739,81652.649628,117757.889779,48218.332610,3200,1.00,1,c4a54cdecc67,229,235,dict,,125,13
python,bytes,document,100,7,mashumaro,3.22,3742,8065,448,11807,267236.771780,123992.560446,84695.519607,9821,1.00,1,c4a54cdecc67,229,235,dataclass,,126,14
python,bytes,document,100,7,avro,1.12.2,18967,10091,114,29058,52723.150735,99098.206322,34413.930759,1121,1.00,1,c4a54cdecc67,137,123,dict,,127,15
python,bytes,document,100,8,pydantic,2.13.4,8979,14857,448,23836,111370.976723,67308.339503,41953.347877,5757,1.00,1,c4a54cdecc67,229,235,model,,128,0
python,bytes,document,100,8,pickle,python-3.14.0,12187,8632,452,20819,82054.648396,115848.007414,48033.046736,6889,1.00,1,c4a54cdecc67,319,336,dataclass,,129,1
python,bytes,document,100,8,json,python-3.14.0,10431,6006,448,16437,95868.085514,166500.166500,60838.352497,3200,1.00,1,c4a54cdecc67,229,235,dict,,130,2
